"PLAYER_NAME","START_POSITION","MIN","FGA","FG_PCT","FG3A","OREB","REB","AST","STL","PTS","TO","PF","DK_POINTS","PTS_PAINT","PFD","DRIVES","DRIVE_FGA","DRIVE_FG_PCT","DRIVE_PTS","TOUCHES","CONTESTED_FGA","CONTESTED_FG_PCT","PACE","PNR_POSSG","ISO_POSSG","SPOT_POSSG","OFF_SCREEN_POSSG","CATCH_SHOOT_FGA","CATCH_SHOOT_FG_PCT","CATCH_SHOOT_3FGA","PASSES_MADE","PASSES_RECEIVED","TIME_OF_POSS","POST_TOUCH_FGA","PULL_UP_FGA","PULL_UP_3FGA","NATIONAL_TV"
"J.R. Smith","G","29:28",12,0.167,8,0,1,1,1,5,1,2,9.50,2,1,2,1,1,2,39,7,0.143,85.91,0.97,1.58,4.16,2.03,6,0.167,6,26,32,1,0,4,2,"ESPN"
"Rodney Stuckey","","22:41",6,0.333,1,0,2,1,1,4,1,1,9.25,2,0,3,3,0.333,2,23,4,0.25,99.63,3.25,0.57,1.64,0.46,1,0,1,15,17,1,0,2,0,NULL
"Garrett Temple","G","20:39",2,1,2,1,1,1,0,6,1,1,9.00,0,0,1,0,0,0,25,0,0,94.37,0.75,0.17,2.62,0.63,2,1,2,22,22,1.1,0,0,0,NULL
"Andre Roberson","G","21:38",3,0.333,1,0,4,0,0,2,0,1,9.00,2,0,1,1,0,0,16,1,0,99.18,NULL,NULL,1.62,NULL,1,0,1,13,11,0.4,0,0,0,NULL
"Eric Gordon","G","32:15",9,0.111,3,0,0,1,1,4,2,1,6.75,0,2,5,3,0,0,40,5,0,98.71,3.98,1.04,4.16,1.67,3,0.333,3,27,37,1.3,0,1,0,NULL
"Nik Stauskas","","25:23",6,0,3,0,2,2,0,0,2,1,6.00,0,0,2,2,0,0,22,4,0,104.18,1.44,0.40,3.62,0.67,2,0,2,13,17,0.7,0,2,1,NULL
"Jamal Crawford","","30:09",9,0.111,2,0,1,2,0,3,2,1,5.75,0,2,2,1,0,1,31,5,0.2,94.01,4.37,3.30,2.66,0.49,2,0,2,17,23,1.3,0,5,0,NULL
"Danny Green","G","27:51",5,0,3,0,2,1,0,0,1,4,5.25,0,0,2,1,0,0,37,2,0,86.69,0.38,0.16,3.56,0.87,2,0,2,31,27,1,0,1,1,NULL
"Allen Crabbe","","21:06",3,0,2,2,3,0,0,1,0,1,4.75,0,2,0,0,0,0,22,1,0,102.99,0.89,NULL,3.15,1.56,2,0,2,18,16,0.4,0,1,0,NULL
"Troy Daniels","","22:00",7,0.286,2,0,1,0,0,5,5,3,3.75,2,1,3,2,0,0,25,6,0.333,90.2,0.41,NULL,1.95,1.18,3,0.333,2,12,22,1,1,1,0,NULL
